Id,time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas
16,1504224226,225,1095,226,0.0230414746544,10959,123.807920516,5783.58766544,52.0934134778,-0.809781709828,208.029689372,7.15280279241,5781.19116651,8.25463263829,205.824977099,0.112359272923,5771.63265575,205.137785039,378178,3,36,3.67882893295,1.09851448778,248.436111856,286.212317762,240.788845357,233.174336579,226.502310409,223.810579066,224.614505998,227.054401043,226.103013666,225.265079002,224.596284416,224.025056409,223.2774653,248.363889881,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,75375.4,2.39534e+06,80916,2.37389,76892.9,2.49225,3.67393270489,1.10126870615,248.345794415,205.611045172
17,1504224241,240,1095,226,0.0230414746544,10959,123.729325186,5897.95552024,52.0777452817,-0.771686146208,210.312931223,7.47884013186,5900.93110259,7.88463223312,207.616773514,0.118382480478,5886.01934109,207.390010648,378178,3,36,3.70366301239,1.2158374406,247.584284438,286.253614317,239.91417755,232.381102219,225.816646741,223.7258128,224.887120171,226.98140349,226.002633107,225.183630177,224.524961633,223.962382439,223.174360479,247.473244977,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,78506.8,2.39534e+06,80325.8,3.21187,76765.2,2.55115,3.6986585555,1.21931791864,247.495387818,207.93655066
18,1504224256,255,1095,226,0.0230414746544,10959,123.805894416,6019.8,52.0619659424,-0.733413696289,211.739175966,8.45312,6021.16319485,8.17624746063,209.219476499,0.0935542909759,6007.58357333,208.951128409,378178,3,36,3.72483375275,1.35196131266,246.693486271,286.295090014,239.000078119,231.551861531,225.090427303,223.627039721,225.182626157,226.860806274,225.896740407,225.097976612,224.450050714,223.896646982,223.066445431,246.593880937,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,81656,2.39534e+06,79882.4,3.24148,76634.1,2.6209,3.71961911334,1.35627614539,246.603873069,209.427445023
19,1504224271,270,1095,226,0.0230414746544,10959,123.766871474,6142.03041744,52.0466538239,-0.695801694498,212.880383321,7.9112894672,6146.33491552,8.53640281782,210.411969137,0.0657907704675,6130.02816922,210.330859776,378178,3,36,3.74403765076,1.50315192946,245.811297538,286.335890688,238.095683219,230.734128675,224.362368322,223.518365986,225.484317976,226.740411855,225.791019311,225.01269963,224.375530234,223.831313801,222.959368039,245.693524673,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,84740,2.39534e+06,79517,3.35184,76490,2.73045,3.73885805634,1.5081176487,245.724592434,210.636835495
20,1504224286,285,1095,226,0.0230414746544,10959,123.804888574,6278.88761945,52.0307449952,-0.657269211042,213.594026429,8.77829420984,6276.80650743,8.75646690888,211.257723922,0.0514541343915,6261.6651766,211.293539059,378178,3,36,3.76118953687,1.67937606768,244.879278745,286.377641799,237.119172771,229.887573814,224.09358371,223.392426867,225.812361711,226.612209646,225.678469558,224.92220558,224.296501501,223.724461317,222.846087832,244.771702005,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,87913.6,2.39534e+06,78966.9,3.4496,76359.2,2.76693,3.75369950489,1.68756553034,244.75693027,211.442659348
21,1504224301,300,1095,226,0.0230414746544,10959,123.91940231,6408.42,52.0140722242,-0.617431640625,213.880673025,8.45312,6403.62238417,7.93495315707,212.182852404,0.0800374233696,6395.67546753,211.636520598,378178,3,36,3.88897645108,1.90363327881,243.888406453,286.420776043,236.129706819,229.031750399,223.99023786,223.371929535,226.149095637,226.483374963,225.565181704,224.831301578,224.217052876,223.59416835,222.7323256,243.823725067,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,91209.2,2.39534e+06,78565.4,2.41961,76267.4,2.77925,3.90987327975,1.91595956576,243.784704319,211.738919966
22,1504224316,315,1095,226,0.0230414746544,10959,123.917430537,6515.10761945,51.9983828369,-0.579055385232,215.735512514,5.20159490356,6511.2850988,6.52862239529,213.765077453,0.126419723084,6506.63619946,213.099259136,378178,3,36,4.1568470776,2.14879014173,243.007176257,286.462412485,235.329101833,228.330018515,223.894461546,223.655505063,226.429780019,226.378221554,225.472285345,224.75665156,224.151500659,223.487017465,222.638499277,242.969873241,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,94362.3,2.39534e+06,78296.8,2.28716,76178.9,2.79176,4.17065168945,2.15721952133,242.939215748,213.51795373
23,1504224331,330,1095,226,0.0230414746544,10959,124.064055553,6598.92,51.9818115234,-0.539779663086,218.592092458,6.66722225644,6608.81344737,6.76729938462,215.594169763,0.106122709091,6587.80361757,215.773478816,378178,3,36,4.44284933142,2.38170821732,242.37628626,286.504594358,234.753270685,227.820925425,223.818073903,223.858961771,226.636590148,226.302197465,225.404745517,224.700949055,224.101044011,223.406087671,222.567739686,242.209522855,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,97621.3,2.39534e+06,78073.2,2.27053,76029.8,2.85593,4.46069332713,2.39307111394,242.288001866,216.283630036
24,1504224346,345,1095,226,0.0230414746544,10959,124.1001149,6720.87078748,51.9655113875,-0.500783733807,219.306457481,8.19210084567,6715.51844064,7.28872421005,216.90511602,0.0744758300136,6706.11204484,216.686991581,378178,3,36,4.78055214797,2.65563883492,241.460576054,286.545919271,233.914267248,227.073761689,223.701554449,224.176857773,226.941341446,226.190964708,225.313676058,224.621623807,224.030531061,223.292915837,222.469384817,241.386910671,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,100849,2.39534e+06,77691.9,1.95219,75867.4,2.98012,4.80379642516,2.67103805883,241.345029207,216.88159461
25,1504224361,360,1095,226,0.0230414746544,10959,123.900162313,6819.94549285,51.9487064901,-0.460080014537,220.444287539,5.85216,6821.83443908,6.84101935097,218.03751787,0.079870744474,6813.30075425,217.582861851,378178,3,36,5.09973085338,2.92923500442,240.645362934,286.588592146,233.169534431,226.404569433,223.58523204,224.464298361,227.113122731,226.091534285,225.232982224,224.54993017,223.966524635,223.191007687,222.380500817,240.579382454,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,104206,2.39534e+06,77638.5,1.91395,75718.4,3.06686,5.11001963325,2.93632381445,240.593981845,217.904798893
